valid_time,pressure_level,u,v,t,r
2025-07-24 03:00:00,1000,-0.49155557,-0.85514426,291.59497,80.819
2025-07-24 03:00:00,925,-0.3192467,-0.73313826,287.26953,81.13316
2025-07-24 03:00:00,850,-2.166957,-2.615615,283.4624,59.888184
2025-07-24 03:00:00,700,3.5830297,-6.5031843,278.70996,13.206471
2025-07-24 03:00:00,500,10.344227,-12.443643,263.72388,32.12729
2025-07-24 04:00:00,1000,-0.67507017,-0.6547928,291.3059,82.06
2025-07-24 04:00:00,925,-0.48999017,-0.5467989,286.97852,82.12482
2025-07-24 04:00:00,850,-2.3330755,-1.9459267,283.20874,56.086456
2025-07-24 04:00:00,700,3.3616467,-7.6578207,278.95044,13.89422
2025-07-24 04:00:00,500,10.353076,-12.642709,263.52954,33.8488
2025-07-24 05:00:00,1000,-0.7367097,-0.70707875,291.03882,83.29201
2025-07-24 05:00:00,925,-0.5414981,-0.5778292,286.71533,83.17369
2025-07-24 05:00:00,850,-2.494852,-1.9061384,283.15552,52.85315
2025-07-24 05:00:00,700,3.0014963,-8.410383,278.89038,15.468783
2025-07-24 05:00:00,500,10.573118,-13.618279,263.1443,37.165115
2025-07-24 06:00:00,1000,-0.8394865,-0.7597616,290.77466,82.3893
2025-07-24 06:00:00,925,-0.64651924,-0.6348353,286.4485,82.43529
2025-07-24 06:00:00,850,-2.8345375,-2.052556,283.0481,51.8006
2025-07-24 06:00:00,700,2.1248732,-8.702023,278.77637,17.121582
2025-07-24 06:00:00,500,10.225315,-14.750505,262.86084,38.388626
2025-07-24 07:00:00,1000,-1.221077,-0.98721707,291.04858,69.55884
2025-07-24 07:00:00,925,-0.99594593,-0.85917205,286.68872,69.73093
2025-07-24 07:00:00,850,-3.2986126,-2.3969498,282.89795,52.554123
2025-07-24 07:00:00,700,1.4259996,-8.57953,278.65137,18.32904
2025-07-24 07:00:00,500,9.904897,-16.005005,262.562,43.43181
2025-07-24 08:00:00,1000,-1.4021158,-1.1552372,292.39648,55.242233
2025-07-24 08:00:00,925,-1.1971884,-1.0901976,288.0149,55.547806
2025-07-24 08:00:00,850,-2.8020039,-2.23631,282.6565,66.9772
2025-07-24 08:00:00,700,0.6830373,-8.733949,278.40894,19.254318
2025-07-24 08:00:00,500,9.70955,-16.814941,262.03345,56.62648
